platform_loc / ride_time / path / info
2-1 / 2017-09-11 08:30 / 동천 -> 강남 / 남4핸평노 남3핸평이:판 여3핸평이:판 남3잠평노 남1핸평이:정 남1핸평노:정 여3핸평노:판
2-1 / 2017-09-12 08:07 / 동천 -> 강남 / 여3핸평이 남4핸세이:정 여3핸평이 남4핸세이 남4잠평이 여3잠평이 여6토평노 
2-1 / 2017-09-13 07:40 / 동천 -> 강남 / 여3핸평이:판 여4잠평노 여3핸평이 여3잠평이 남3잠정노 여3잠평이 여3핸평이
2-1 / 2017-09-14 07:24 / 동천 -> 강남 / 남3잠평이 남3핸평이 여4핸평노 여2핸평이 여4핸평노 여6생평노 남5생세노:정
2-1 / 2017-09-15 08:20 / 동천 -> 강남 / 여2잠평이:정 여3잠세노 여3핸세노 여4잠세노 남3핸평노 여3잠세노 여3핸평이:판
2-1 / 2017-09-18 07:07 / 동천 -> 강남 / 남5책평노:판 남5핸세노 남3핸평이 남4잠세노 남5책세노 남2핸평노 여3잠평이
2-1 / 2017-09-19 08:28 / 동천 -> 강남 / 남4핸평이 남4핸평이 여3책평이 남4생평이 여3핸평이 여4잠평노 여3핸평노:판
2-1 / 2017-09-20 07:44 / 동천 -> 강남 / 남2핸평이 여3핸평이 여2잠세노 남2잠평이 여4핸세노 남3생세노:정 여3핸평이
2-1 / 2017-09-22 07:18 / 동천 -> 강남 / 여4핸평노:판 남4핸평이 남4잠평노 여3핸평이 여2생평이 남5핸세이 남5핸정노
2-1 / 2017-09-27 07:24 / 동천 -> 강남 / 여3잠평노 여4잠평노:정 남5잠정노 남3핸평노:판 남3잠평노 남3핸평노 여2핸세이
2-1 / 2017-09-28 07:13 / 동천 -> 강남 / 남5책평노:판 남4잠세노 여3핸평노 남5생세이 남4핸세노 남4잠세노 여3핸평노
2-1 / 2017-09-29 08:11 / 동천 -> 강남 / 여3핸세이:정 여3핸평이 남2잠정노 남4핸정이 남4핸평노 남5잠세이 남3핸평노:정
